"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Ordenanza",6302,1996,"Ordenaza 5980. Inauguración de obras, proyecto y/o acciones en beneficio de la comunidad rosarina. Invitaciones, comunicado de Prensa, etc. Modificación.","28/11/1996","01/04/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77488"
"Ordenanza",6301,1996,"Decreto 4452 Concejo Municipal. Cesión Gratuita Panteón Social Cementerio ""La Piedad""  Sindicato de Conductores de taxis Rosario. Modificación.","28/11/1996","06/01/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77515"
"Ordenanza",6300,1996,"Campaña de concientización y difusión. Selección de residuos domiciliarios orgánicos e inorgánicos. Implementación.","28/11/1996","06/01/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77487"
"Ordenanza",6299,1996,"Personal Municipal. Estatuto. Escalafón. Prohibiciones.","28/11/1996","09/04/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33767"
"Ordenanza",6298,1996,"Colectividades. Encuentro.  Preparación. Concreción. Promoción. Ente Turístico de Rosario (ETUR).","28/11/1996","24/06/1997",,,,"SI","https://www.rosario.gob.ar/mr/normativa/otras-normas/ordenanzas/ordenanza-nb0-6.298"
"Ordenanza",6297,1996,"Fondo Municipal de Emprendimiento Productivo. (FEP). Objeto. Proceso de selección. Asistencia financiera.","28/11/1996","16/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=35500"
"Ordenanza",6296,1996,"Programa Municipal de Exportaciones Incrementales. Creación. Régimen.","28/11/1996","16/01/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=38791"
"Ordenanza",6295,1996,"Recorrido. Empresa Villa Diego S.R.L. Transporte Interbano de Pasajeros. Modificación.","28/11/1996","06/01/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77486"
"Ordenanza",6294,1996,"Residencias para personas mayores.","28/11/1996","04/04/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=338"
"Ordenanza",6293,1996,"Ordenanza 6032. Fracción de terreno para uso de plaza. Modificación.","28/11/1996",,,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=75409"
"Ordenanza",6291,1996,"Reglamento de Edificación. Sección 2º. Planos. Planillas.  Requisitos técnicos. Presentación. Sección 4º. Instalaciones eléctricas. Prescripciones. Elaboración conjunta Colegio de Ingenieros Especialistas - oficinas técnicas D.E.M.. Definición.","21/11/1996","13/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=34661"
"Ordenanza",6290,1996,"Avenida ""Estanislao López"". Designación.","21/11/1996","20/01/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77485"
"Ordenanza",6289,1996,"Ordenanza Nº 5404. Monumento Nacional a la Bandera. Celebración de actos. Modificación.","21/11/1996","12/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=66123"
"Ordenanza",6288,1996,"Normas Complementarias Regulación del Uso del Suelo. Inundación Arroyo Ludueña- Canales Ibarlucea y Salvat. Determinación.","21/11/1996","09/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77512"
"Ordenanza",6287,1996,"Residencias para personas mayores.","21/11/1996","01/04/1997",,,,"SI","https://ssl.rosario.gov.ar/mr/normativa/otras-normas/ordenanzas/ordenanza-6287-1996"
"Ordenanza",6286,1996,"Fondo Especial Parque de la Independencia. Creación.","21/11/1996","08/01/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=53057"
"Ordenanza",6285,1996,"Centros Barriales para la Niñez y la Adolescencia. Creación.","21/11/1996","09/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77484"
"Ordenanza",6284,1996,"Ordenanza 6223. Régimen especial de regularización de deudas por Contribución de Mejoras. Fecha de vencimiento. Modificación.","14/11/1996","03/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77483"
"Ordenanza",6283,1996,"Ordenanza 6191. Deudas estadía de vehículos en el Corralón Municipal. Modificación","14/11/1996","28/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77482"
"Ordenanza",6282,1996,"Código de Faltas. Infracciones a las normas de tránsito relativas a la conducción. Sector reservado estacionamiento vehículos de  discapacitados. Multas.","07/11/1996","18/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=194"
"Ordenanza",6281,1996,"Familias asentadas. Boulevard 27 de Febrero. Tramos. Realojamiento.","07/11/1996","26/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77481"
"Ordenanza",6280,1996,"Motovehículos. Conductor. Acompañante. Casco de protección. Visor. Antiparras. Obligatoriedad. Sanciones.","07/11/1996","18/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=34567"
"Ordenanza",6279,1996,"Prolongación calle San Martín. ""José Fioravanti"". Designación.","07/11/1996","24/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77480"
"Ordenanza",6278,1996,"Ente administrador del predio del Mercado de Productores. Creación. Objeto. Funciones.","07/11/1996",,,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=38758"
"Ordenanza",6277,1996,"Convenio. Expocon S.A. y Mario Cornaglia S.R.L.. Aprobación.","07/11/1996","27/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77479"
"Ordenanza",6276,1996,"Código Urbano. Sección 5º. Calle 1731 (prolongación Amenábar). M. González. Calle Nº 1724. Ancho oficial. Tramos.","31/10/1996","21/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33864"
"Ordenanza",6275,1996,"Sentido único de circulación. Pasaje Middleton. Disposición.","31/10/1996","15/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77478"
"Ordenanza",6274,1996,"Centro de Expresiones Contemporáneas Municipal. ""Julio Vanzo"". Designación.","31/10/1996","03/10/2011",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=75309"
"Ordenanza",6273,1996,"Feria. Centro Internacional de Negocios. Feria Rosario para el Mercosur. Productos. Servicios Promocionales de Rosario. Exposición. Comercialización. Organización. Fiscalización.","31/10/1996","16/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=38915"
"Ordenanza",6272,1996,"Red de Contención Sanitaria. Creación.","31/10/1996","02/12/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77477"
"Ordenanza",6271,1996,"Código Urbano. Sección 3º. Centro de Renovación Urbana Scalabrini Ortíz. Integración. Distritos L3-1, R5-2, R5-2a, R5-2b, R5-2c, K2-1 y H2-11.  Delimitación.","31/10/1996","20/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33823"
"Ordenanza",6270,1996,"Código Urbano. Sección 3º. Distrito K2-1/R5-2. Modificación. Sección 3º. Distritos H2-11, R5-2a, R5-2b, R5-2c. Creación.","31/10/1996","20/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33805"
"Ordenanza",6269,1996,"Acuerdo Transaccional. Salvia Francisco Víctor. Ratificación.","31/10/1996",,,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77476"
"Ordenanza",6268,1996,"Presupuesto de Erogaciones y Cálculo de Recursos. Ejercicio Financiero 1997. Prórroga.","24/10/1996","13/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77475"
"Ordenanza",6267,1996,"Modo experimental. Sistema de Calzada Exclusiva circulación de Transporte Urbano de Pasajeros. Calle Sarmiento. Tramo. Disposición.","24/10/1996","04/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77474"
"Ordenanza",6266,1996,"Código de Publicidad. Tabacos. Cigarrillos. Cigarros.Leyenda.","24/10/1996","02/01/1997",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33117"
"Ordenanza",6265,1996,"Jardín Maternal Nº 5. Creación.","17/10/1996","14/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77473"
"Ordenanza",6264,1996,"Bibliotecas de la Comunidad. Creación.","17/10/1996","14/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77472"
"Ordenanza",6263,1996,"Establecimientos industriales y comerciales. Habilitación. Duración determinada.","17/10/1996","29/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=276"
"Ordenanza",6262,1996,"Sistema de apoyo a microempredimientos productivos y afectación de inmuebles desocupados. SAMEPAID. Creación. Integración. Registro de Oferentes. Procedimiento.","17/10/1996","08/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=38793"
"Ordenanza",6261,1996,"Declaración  de Interés Municipal. Alcance.","03/10/1996",,,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=40601"
"Ordenanza",6260,1996,"Nueva Sala de Terapia Intermedia Hospital de Niños ""Victor J. Vilela. Construcción y reciclaje. Autorización.","03/10/1996","28/11/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77471"
"Ordenanza",6259,1996,"Ordenanza 6151. Mejoras de las propiedades.  Plazo. Prórroga.","25/09/1996","21/10/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77470"
"Ordenanza",6258,1996,"Vida útil Transporte Urbano de Pasajeros Modelo 1985. Prórroga.","25/09/1996","21/10/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77469"
