"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Resolución",78,2022,"Emisión de TGI y sus adicionales. Adecuación. Aplicación efectiva. Inicio.","17/03/2022",1346,2022,"21/03/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=185939"
"Resolución",65,2022,"Decreto N° 2463/2017. Eximición. Finalización.","04/03/2022",1340,2022,"08/03/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=185545"
"Resolución",53,2022,"Estado Financiero Consolidado. Ejercicio 2021. Banco Municipal de Rosario. Publicación en el Boletín Oficial. Disposición.","07/04/2022",1356,2022,"08/04/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=186620"
"Resolución",40,2022,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","01/02/2022",1328,2022,"01/02/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=184158"
"Resolución",34,2022,"Funciones de Intendente Municipal. Presidente del Concejo Municipal Mg. María Eugenia Schmuck. Delegación.","02/02/2022",1329,2022,"03/02/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=184202"
"Resolución",23,2022,"Patente Única sobre vehículos. Gestión. Períodos 2016 y 2017. Encomendación.","18/01/2022",1323,2022,"20/01/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=183855"
"Resolución",18,2022,"Exención. Derecho de Registro e Inspección (y sus adicionales), Contribución ETuR y Tasa General de Inmuebles (y sus adicionales). Actividades. Especificación. Procedimiento. Aprobación.","07/01/2022",1320,2022,"12/01/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=183636"
"Resolución",11,2022,"Deudas de Tributos Municipales y Patente Única sobre Vehículos. Prescripción. Período. Abstención de Cobro. Instrucción. Excepciones.","03/01/2022",1316,2022,"06/01/2022","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=183381"
"Resolución",437,2021,"Nueva credencial. Derecho de Registro e Inspección, sus adicionales y Contribución ETUR. Régimen Simplificado. Disposición.","28/12/2021",1313,2021,"29/12/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=183232"
"Resolución",410,2021,"Tasa General de Inmuebles y sus adicionales. Pago libre de intereses. Secciones catastrales. Nómina. Vencimiento. Prórroga.","15/12/2021",1307,2021,"17/12/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=183000"
"Resolución",409,2021,"Pago anticipado Tasa General de Inmuebles y sus adicionales 2022. Fecha de vencimiento. Fijación.","15/12/2021",1307,2021,"17/12/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=183002"
"Resolución",400,2021,"Adecuación emisión de TGI y sus adicionales. Decreto Nº 938/21.","10/12/2021",1304,2021,"13/12/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=182826"
"Resolución",272,2021,"Tasa General de Inmuebles y adicionales. Fecha vencimiento y pago libre intereses. Anticipo Octubre 2021. Zonas 3 y 4. Prórroga.","13/09/2021",1261,2021,"14/09/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=179071"
"Resolución",228,2021,"Pandemia Coronavirus (COVID-19). Derecho de Registro e Inspección, Contribución ETuR y Tasa General de Inmuebles y adidonales. Exención. Procedimiento. Aprobación.","04/08/2021",1240,2021,"06/08/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=176690"
"Resolución",191,2021,"Pandemia Coronavirus (COVID-19). Actividades comerciales varias. Funcionamiento. Horario. Disposición.","10/12/2021",1304,2021,"13/12/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=182837"
"Resolución",180,2021,"Adecuación emisión de TGI y sus adicionales. Decreto Nº 938/21.","18/06/2021",1217,2021,"22/06/2021","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=174208"
