_category,_link_col,NUMERO,ANIO,PUBLICACION,CANTIDAD_NORMAS,LINK,TIPO,ASUNTO,FEC_SANCION,NRO_BOLETIN,ANIO_BOLETIN,FEC_PUBLICACION_BOLETIN,FUE_ACTUALIZADA,TEXTO_VIGENTE_NORMA,FEC_PROMULGACION
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69437,2026,,,,Decreto Concejo Municipal,Periodista Distinguida de la Ciudad. Mg. Lic. Karina Vimonte. Declaración.,07/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263447,19/05/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69431,2026,,,,Decreto Concejo Municipal,Otorgase diploma de honor al equipo de voley masculino de Sonder.,07/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263258,18/05/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69394,2026,,,,Decreto Concejo Municipal,Declarase de Interés Municipal la fiesta del trabajador y la trabajadora de la alimentación organizada por el sind. de trabajadores de la industria de la alimentación.,07/05/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262820,26/05/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69388,2026,,,,Decreto Concejo Municipal,"Interés Municipal. Convenio de Cooperación institucional y Conferencia II Silencio Administrativo y Acceso a la Justicia"". 27 de abril. Colegio de Abogados de Rosario. Declaración.",23/04/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261939,14/05/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69357,2026,,,,Decreto Concejo Municipal,Declarase a la Delegación Rosario de la Camara Argentina de la Construcción como institución de la ciudad de Rosario.,23/04/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262739,15/05/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69288,2026,,,,Decreto Concejo Municipal,Declarase de Interés Municipal el festival gastronómico Burgerland 2.0 edición 2026,09/04/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262805,21/04/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,69268,2026,,,,Decreto Concejo Municipal,Declarase de Interés Municipal al desfile de Lanka Modls-Edición 22.,09/04/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262806,21/04/2026
decretos_concejo_municipal,TEXTO_VIGENTE_NORMA,145,2026,,,,Decreto Concejo Municipal,"AUTORIZA EXCEPCIONALMENTE Ingreso al inmueble sito en calle Massa Elsa ""Chiche, cuyos titulares registrales son GODOY, Débora y CÓRDOBA, Mario Daniel,a fin de realizar tareas de limpieza, desmalezamiento y cerramiento",23/06/2026,,,,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263622,
ordenanzas,TEXTO_VIGENTE_NORMA,10912,2026,,,,Ordenanza,Decreto-Ordenanza Nº 27 .800/62. Modificación.,21/05/2026,2050,2026,12/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263065,10/06/2026
ordenanzas,TEXTO_VIGENTE_NORMA,10910,2026,,,,Ordenanza,"""Programa de Formación y Capacitación para Choferes del Servicio Público de Taxis"". Creación.",07/05/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263365,18/05/2026
